pid,ad_title,target_age_group,target_gender,target_mood,target_weather
RNY648609,Teen Boy Water Resistant Hoodie,10-18,Male,Angry,rainy
SNY260169,Senior Men's Linen Suit,65+,Male,neutral,sunny
RNY990256,Women's Raincoat Premium,40-64,Female,Happy,rainy
CLD567396,Senior Women's Gloves Classic,65+,Female,neutral,cold
RNY277106,Girls Waterproof Coat,Kids,Female,Angry,rainy
SNY112797,Men's Tennis Coat,18-39,Male,Sad,sunny
CLD889859,Women's Gloves Premium,18-39,Female,Happy,cold
RNY157586,Teen Girl Rain Jacket Fashion,10-18,Female,Angry,rainy
CLD511844,Women's Beanie Designer,18-39,Female,Happy,cold
CLD201376,Teen Boy Knit Jacket,10-18,Male,Happy,cold
RNY649074,Men's Water Resistant Pants,40-64,Male,neutral,rainy
SNY996963,Girls Sandals Trendy,Kids,Female,Happy,sunny
CLD810824,Men's Fleece Skirt,18-39,Male,Happy,cold
CLD932199,Girls Thermal Suit,Kids,Female,Angry,cold
CLD549281,Men's Gloves Designer,40-64,Male,Angry,cold
CLD526024,Men's Sweater Trendy,18-39,Male,neutral,cold
CLD733725,Kids Insulated Hoodie,Kids,Male,neutral,cold
CLD452767,Senior Men's Winter Jacket Basic,65+,Male,Happy,cold
RNY259711,Senior Women's Umbrella Casual,65+,Female,Happy,rainy
RNY138020,Men's Wet Weather Shoes,40-64,Male,Sad,rainy
SNY698020,Senior Men's Sunglasses Basic,65+,Male,neutral,sunny
RNY144011,Girls Rain Jacket Sport,Kids,Female,Angry,rainy
SNY623866,Teen Girl Cotton Hoodie,10-18,Female,Happy,sunny
RNY553258,Men's Umbrella Casual,40-64,Male,Sad,rainy
SNY166418,Girls Sunglasses Basic,Kids,Female,Angry,sunny
CLD824584,Women's Parka Designer,18-39,Female,Sad,cold
CLD381809,Men's Thermal Dress,18-39,Male,Happy,cold
RNY612782,Men's Umbrella Formal,40-64,Male,Angry,rainy
SNY964424,Men's Sandals Classic,40-64,Male,Happy,sunny
RNY590841,Girls Water Resistant Vest,Kids,Female,neutral,rainy
RNY251054,Men's Water Resistant Shoes,18-39,Male,Sad,rainy
RNY551530,Women's Rain Jacket Simple,40-64,Female,neutral,rainy
CLD349779,Men's Sweater Formal,18-39,Male,neutral,cold
RNY319592,Girls Umbrella Sport,Kids,Female,Sad,rainy
CLD617919,Girls Knit Outfit,Kids,Female,Happy,cold
RNY123621,Women's Umbrella Casual,40-64,Female,Happy,rainy
CLD533175,Teen Girl Winter Jacket Basic,10-18,Female,Sad,cold
SNY437287,Women's Beach Volleyball Dress,18-39,Female,Happy,sunny
SNY155708,Teen Girl Sunglasses Simple,10-18,Female,Happy,sunny
SNY805983,Senior Women's Beach Volleyball Vest,65+,Female,neutral,sunny
CLD887111,Men's Insulated Bag,40-64,Male,Sad,cold
SNY629996,Women's Beach Hoodie,18-39,Female,Happy,sunny
CLD372200,Senior Men's Parka Fashion,65+,Male,Happy,cold
CLD658845,Senior Women's Thermal Dress,65+,Female,neutral,cold
SNY477880,Kids Sandals Classic,Kids,Male,Happy,sunny
RNY511227,Senior Men's Rain Boots Designer,65+,Male,neutral,rainy
CLD882794,Men's Knit Coat,40-64,Male,Angry,cold
SNY685432,Teen Girl Cotton Suit,10-18,Female,Sad,sunny
RNY591875,Senior Women's Raincoat Modern,65+,Female,neutral,rainy
CLD361533,Men's Winter Boots,40-64,Male,Happy,cold
RNY456630,Women's Water Resistant Shoes,18-39,Female,Sad,rainy
CLD774759,Senior Men's Fleece Coat,65+,Male,Sad,cold
RNY664001,Women's Wet Weather Shoes,40-64,Female,Angry,rainy
CLD102704,Teen Boy Insulated Jacket,10-18,Male,Sad,cold
SNY245295,Men's Summer Jacket,18-39,Male,Angry,sunny
RNY344419,Men's Water Repellent Suit,40-64,Male,Angry,rainy
SNY149439,Teen Girl Sunglasses Sport,10-18,Female,Sad,sunny
RNY181613,Kids Rain Jacket Classic,Kids,Male,neutral,rainy
RNY823369,Kids Splash Pants,Kids,Male,Happy,rainy
CLD779846,Kids Winter Jacket Classic,Kids,Male,Angry,cold
SNY530790,Women's Summer Jacket,18-39,Female,Happy,sunny
CLD297154,Teen Girl Winter Jacket Trendy,10-18,Female,neutral,cold
CLD430317,Senior Men's Wool Top,65+,Male,neutral,cold
SNY260455,Men's Beach Shirt,40-64,Male,Happy,sunny
SNY786406,Teen Girl Sandals Simple,10-18,Female,Angry,sunny
SNY433799,Senior Women's Lightweight Shirt,65+,Female,Happy,sunny
CLD791262,Teen Boy Parka Basic,10-18,Male,neutral,cold
SNY427626,Men's Tank Top,40-64,Male,Sad,sunny
RNY788030,Senior Men's Raincoat Sport,65+,Male,Happy,rainy
RNY824834,Senior Men's Water Repellent Shirt,65+,Male,neutral,rainy
CLD841539,Women's Winter Jacket Casual,18-39,Female,Angry,cold
RNY138468,Girls Waterproof Jacket,Kids,Female,Sad,rainy
CLD571628,Senior Women's Knit Pants,65+,Female,Sad,cold
SNY168540,Women's Sandals Classic,18-39,Female,neutral,sunny
CLD614527,Teen Boy Winter Jacket Designer,10-18,Male,Angry,cold
RNY349767,Girls Water Repellent Bag,Kids,Female,Sad,rainy
RNY245230,Women's Rain Jacket Designer,18-39,Female,neutral,rainy
SNY766876,Men's Sunglasses Sport,40-64,Male,neutral,sunny
RNY647084,Girls Waterproof Backpack,Kids,Female,Happy,rainy
RNY294741,Kids Waterproof Coat,Kids,Male,Happy,rainy
CLD228992,Men's Snow Boots,40-64,Male,Sad,cold
RNY807349,Teen Boy Rain Jacket Classic,10-18,Male,Happy,rainy
RNY326794,Men's Wet Weather Outfit,40-64,Male,neutral,rainy
SNY546772,Senior Women's Linen Jacket,65+,Female,Angry,sunny
CLD336830,Teen Boy Thermal Bag,10-18,Male,Sad,cold
RNY368258,Men's Rain Boots Simple,40-64,Male,Happy,rainy
SNY428399,Teen Girl Swimming Dress,10-18,Female,Happy,sunny
CLD454681,Teen Boy Fleece Suit,10-18,Male,Angry,cold
CLD481502,Girls Wool Suit,Kids,Female,Sad,cold
RNY108321,Women's Rain Boots Basic,40-64,Female,neutral,rainy
CLD906502,Teen Boy Insulated Top,10-18,Male,Sad,cold
RNY162824,Women's Water Repellent Dress,18-39,Female,Sad,rainy
CLD401663,Senior Women's Fleece Hoodie,65+,Female,Angry,cold
SNY428486,Senior Women's Lightweight Pants,65+,Female,Angry,sunny
RNY230104,Teen Boy Umbrella Trendy,10-18,Male,Angry,rainy
CLD626375,Teen Boy Thermal Coat,10-18,Male,Sad,cold
SNY662111,Men's Tennis Top,40-64,Male,neutral,sunny
SNY883945,Senior Men's Sunglasses Casual,65+,Male,neutral,sunny
RNY663874,Senior Women's Wet Weather Jacket,65+,Female,Sad,rainy
SNY857524,Senior Men's Sandals Fashion,65+,Male,Angry,sunny
SNY333210,Teen Boy Sun Hat Designer,10-18,Male,Sad,sunny
CLD428923,Men's Wool Outfit,18-39,Male,Angry,cold
RNY487180,Senior Women's Raincoat Classic,65+,Female,Angry,rainy
RNY451980,Men's Umbrella Modern,40-64,Male,neutral,rainy
CLD958860,Girls Heavy Coat,Kids,Female,Angry,cold
SNY120669,Girls Sunglasses Casual,Kids,Female,Happy,sunny
SNY137538,Women's Tennis Shoes,18-39,Female,neutral,sunny
RNY250912,Men's Rain Jacket Sport,40-64,Male,Sad,rainy
CLD963844,Senior Women's Insulated Outfit,65+,Female,Happy,cold
CLD268932,Teen Girl Fleece Top,10-18,Female,Sad,cold
RNY114097,Senior Men's Splash Pants,65+,Male,Happy,rainy
SNY318841,Senior Women's Summer Dress,65+,Female,Happy,sunny
SNY886786,Teen Boy Beach Skirt,10-18,Male,neutral,sunny
SNY161495,Teen Boy Beach Volleyball Coat,10-18,Male,Angry,sunny
SNY444802,Women's Swimming Outfit,18-39,Female,Sad,sunny
CLD678428,Senior Men's Winter Jacket Formal,65+,Male,Angry,cold
SNY942455,Women's Summer Vest,40-64,Female,Angry,sunny
SNY185102,Women's Cotton Suit,40-64,Female,Angry,sunny
SNY434562,Men's Beach Volleyball Bag,18-39,Male,Sad,sunny
SNY947607,Senior Men's Summer Coat,65+,Male,Sad,sunny
SNY533914,Senior Men's Sandals Formal,65+,Male,neutral,sunny
SNY117679,Men's Summer Pants,18-39,Male,Angry,sunny
CLD679842,Women's Fleece Shoes,40-64,Female,Sad,cold
RNY349291,Kids Waterproof Bag,Kids,Male,Sad,rainy
CLD902205,Senior Men's Snow Boots,65+,Male,Happy,cold
CLD949445,Women's Fleece Shirt,40-64,Female,Happy,cold
CLD266079,Women's Sweater Fashion,40-64,Female,Angry,cold
SNY645909,Women's Swimming Pants,18-39,Female,Happy,sunny
RNY287938,Senior Men's Wet Weather Top,65+,Male,Angry,rainy
SNY351338,Teen Boy Beach Volleyball Shirt,10-18,Male,neutral,sunny
RNY334822,Kids Rain Jacket Modern,Kids,Male,Happy,rainy
SNY974991,Senior Women's Beach Volleyball Pants,65+,Female,Happy,sunny
CLD824881,Senior Men's Gloves Designer,65+,Male,Sad,cold
SNY752669,Kids Linen Hoodie,Kids,Male,Happy,sunny
RNY786152,Teen Boy Wet Weather Jacket,10-18,Male,neutral,rainy
RNY444310,Senior Men's Rain Jacket Premium,65+,Male,neutral,rainy
CLD163078,Men's Winter Jacket Fashion,18-39,Male,neutral,cold
CLD176696,Senior Women's Down Jacket,65+,Female,Happy,cold
SNY662971,Kids Tennis Suit,Kids,Male,Sad,sunny
SNY887625,Senior Women's Running Shorts,65+,Female,Happy,sunny
CLD396959,Men's Thermal Skirt,40-64,Male,Angry,cold
SNY148050,Senior Women's Beach Volleyball Pants,65+,Female,Angry,sunny
CLD432619,Girls Sweater Fashion,Kids,Female,Sad,cold
RNY815798,Girls Waterproof Backpack,Kids,Female,neutral,rainy
CLD542920,Women's Down Jacket,40-64,Female,neutral,cold
RNY715970,Teen Boy Rain Boots Trendy,10-18,Male,neutral,rainy
SNY257352,Kids Summer Top,Kids,Male,Sad,sunny
CLD564024,Senior Men's Fleece Bag,65+,Male,Happy,cold
SNY741491,Men's Sunglasses Formal,40-64,Male,Happy,sunny
SNY563688,Men's Beach Vest,18-39,Male,neutral,sunny
SNY402620,Senior Men's Flip Flops,65+,Male,Sad,sunny
RNY871582,Men's Waterproof Backpack,18-39,Male,Happy,rainy
SNY970287,Senior Men's Beach Volleyball Pants,65+,Male,Angry,sunny
CLD306907,Kids Wool Suit,Kids,Male,Angry,cold
RNY573842,Kids Water Repellent Bag,Kids,Male,Sad,rainy
RNY144135,Teen Girl Waterproof Dress,10-18,Female,Sad,rainy
SNY651001,Men's Beach Volleyball Jacket,40-64,Male,Sad,sunny
SNY321007,Senior Men's Beach Volleyball Outfit,65+,Male,Sad,sunny
CLD973932,Girls Winter Jacket Premium,Kids,Female,Angry,cold
CLD645731,Teen Girl Beanie Classic,10-18,Female,Sad,cold
RNY797837,Women's Water Resistant Vest,40-64,Female,Sad,rainy
CLD958908,Teen Boy Beanie Premium,10-18,Male,Happy,cold
RNY714600,Senior Men's Water Repellent Top,65+,Male,neutral,rainy
SNY129556,Teen Girl Sunglasses Formal,10-18,Female,Happy,sunny
CLD554163,Teen Girl Beanie Elegant,10-18,Female,Sad,cold
RNY772851,Kids Umbrella Trendy,Kids,Male,neutral,rainy
RNY123214,Men's Waterproof Pants,40-64,Male,Happy,rainy
SNY768124,Teen Girl Tennis Jacket,10-18,Female,Angry,sunny
CLD866509,Girls Fleece Blazer,Kids,Female,Angry,cold
CLD137531,Senior Men's Sweater Casual,65+,Male,Happy,cold
RNY626417,Senior Women's Water Resistant Coat,65+,Female,Angry,rainy
RNY472012,Girls Splash Pants,Kids,Female,Angry,rainy
SNY526068,Women's Beach Skirt,40-64,Female,neutral,sunny
SNY289117,Women's Sunglasses Basic,40-64,Female,Angry,sunny
RNY367100,Women's Rain Boots Classic,40-64,Female,Happy,rainy
CLD353712,Women's Gloves Fashion,18-39,Female,Happy,cold
CLD850629,Women's Insulated Hoodie,40-64,Female,Angry,cold
SNY519753,Men's Sun Hat Elegant,40-64,Male,Happy,sunny
CLD752839,Senior Men's Sweater Premium,65+,Male,Angry,cold
RNY142946,Teen Boy Umbrella Simple,10-18,Male,Sad,rainy
CLD145474,Women's Gloves Modern,18-39,Female,Sad,cold
SNY600801,Teen Boy Sandals Elegant,10-18,Male,neutral,sunny
SNY157706,Teen Girl Beach Jacket,10-18,Female,Sad,sunny
RNY148992,Teen Girl Wet Weather Jacket,10-18,Female,Angry,rainy
SNY420580,Men's Sandals Basic,18-39,Male,Happy,sunny
SNY215593,Teen Girl Flip Flops,10-18,Female,Angry,sunny
CLD334344,Girls Winter Scarf,Kids,Female,neutral,cold
RNY984277,Women's Umbrella Modern,18-39,Female,Sad,rainy
RNY594847,Men's Water Repellent Shirt,40-64,Male,Angry,rainy
RNY483511,Women's Waterproof Backpack,18-39,Female,neutral,rainy
RNY419549,Women's Waterproof Bag,18-39,Female,neutral,rainy
RNY585746,Kids Waterproof Jacket,Kids,Male,Angry,rainy
CLD452663,Men's Sweater Casual,18-39,Male,Angry,cold
SNY930558,Kids Sunglasses Designer,Kids,Male,neutral,sunny
CLD685836,Kids Beanie Elegant,Kids,Male,neutral,cold
CLD104747,Senior Women's Gloves Basic,65+,Female,Angry,cold
CLD262964,Men's Fleece Suit,18-39,Male,Happy,cold
CLD250755,Senior Women's Parka Formal,65+,Female,Angry,cold
RNY330690,Girls Waterproof Suit,Kids,Female,Happy,rainy
CLD494684,Men's Wool Dress,40-64,Male,Angry,cold
CLD202119,Women's Wool Shirt,18-39,Female,Happy,cold
CLD881351,Kids Parka Sport,Kids,Male,Sad,cold
CLD575681,Women's Fleece Jacket,18-39,Female,Happy,cold
RNY586466,Girls Waterproof Top,Kids,Female,Happy,rainy
CLD173232,Teen Boy Insulated Hoodie,10-18,Male,Happy,cold
CLD365447,Women's Beanie Simple,40-64,Female,Angry,cold
CLD140888,Teen Girl Fleece Hoodie,10-18,Female,Happy,cold
CLD498041,Women's Insulated Shirt,18-39,Female,Happy,cold
CLD852363,Teen Girl Fleece Shirt,10-18,Female,Angry,cold
SNY954017,Senior Women's Swimming Suit,65+,Female,Angry,sunny
CLD106589,Senior Men's Knit Pants,65+,Male,Sad,cold
CLD951202,Kids Knit Suit,Kids,Male,neutral,cold
CLD654719,Senior Women's Winter Jacket Basic,65+,Female,Happy,cold
RNY946410,Senior Men's Rain Boots Basic,65+,Male,neutral,rainy
CLD748263,Men's Winter Jacket Sport,40-64,Male,Happy,cold
SNY224052,Women's Sun Hat Premium,40-64,Female,Happy,sunny
CLD863100,Teen Girl Gloves Casual,10-18,Female,neutral,cold
CLD221022,Senior Women's Fleece Outfit,65+,Female,Sad,cold
SNY871934,Girls Sandals Designer,Kids,Female,Sad,sunny
RNY926222,Senior Men's Raincoat Designer,65+,Male,Happy,rainy
RNY393768,Girls Wet Weather Skirt,Kids,Female,Sad,rainy
RNY828840,Men's Rain Jacket Trendy,40-64,Male,Sad,rainy
RNY688446,Senior Women's Water Resistant Pants,65+,Female,neutral,rainy
RNY887181,Kids Rain Jacket Trendy,Kids,Male,Angry,rainy
RNY217389,Men's Rain Poncho,40-64,Male,Angry,rainy
SNY954596,Senior Women's Tank Top,65+,Female,neutral,sunny
SNY344316,Senior Men's Running Shorts,65+,Male,Angry,sunny
CLD731099,Kids Winter Scarf,Kids,Male,neutral,cold
RNY387105,Men's Water Repellent Blazer,18-39,Male,Angry,rainy
CLD746282,Men's Parka Sport,18-39,Male,Sad,cold
SNY191425,Women's Summer Top,18-39,Female,Happy,sunny
CLD576204,Men's Thermal Pants,40-64,Male,Sad,cold
CLD237052,Kids Beanie Designer,Kids,Male,neutral,cold
RNY709237,Senior Men's Umbrella Formal,65+,Male,neutral,rainy
CLD259765,Women's Knit Shirt,18-39,Female,Happy,cold
SNY527123,Men's Sunglasses Classic,40-64,Male,Sad,sunny
CLD512774,Men's Parka Casual,40-64,Male,Happy,cold
RNY330401,Girls Rain Boots Trendy,Kids,Female,Sad,rainy
RNY912588,Teen Boy Raincoat Trendy,10-18,Male,Angry,rainy
RNY565149,Men's Splash Pants,40-64,Male,Sad,rainy
RNY467781,Senior Women's Umbrella Premium,65+,Female,Angry,rainy
CLD209789,Senior Men's Parka Casual,65+,Male,Sad,cold
RNY295546,Men's Rain Jacket Basic,18-39,Male,Sad,rainy
SNY682667,Teen Girl Tennis Dress,10-18,Female,neutral,sunny
SNY106188,Kids Swimming Skirt,Kids,Male,Happy,sunny
SNY852524,Women's Sandals Designer,18-39,Female,Sad,sunny
CLD805723,Women's Fleece Skirt,40-64,Female,Sad,cold
CLD639932,Kids Thermal Outfit,Kids,Male,neutral,cold
CLD952061,Kids Knit Dress,Kids,Male,Happy,cold
RNY254460,Men's Rain Poncho,18-39,Male,Happy,rainy
RNY299649,Kids Raincoat Basic,Kids,Male,Angry,rainy
RNY903968,Men's Rain Boots Trendy,18-39,Male,neutral,rainy
CLD699248,Kids Fleece Coat,Kids,Male,Sad,cold
SNY847868,Teen Girl Swimming Outfit,10-18,Female,Happy,sunny
SNY404124,Teen Boy Sandals Trendy,10-18,Male,Angry,sunny
CLD810242,Teen Girl Insulated Bag,10-18,Female,Happy,cold
CLD300570,Girls Wool Vest,Kids,Female,Happy,cold
CLD475258,Teen Girl Winter Jacket Sport,10-18,Female,Sad,cold
SNY738996,Teen Girl Sun Hat Simple,10-18,Female,neutral,sunny
CLD208886,Kids Parka Casual,Kids,Male,Sad,cold
RNY663197,Women's Raincoat Simple,40-64,Female,neutral,rainy
RNY153762,Senior Women's Rain Boots Classic,65+,Female,Happy,rainy
RNY975624,Men's Umbrella Designer,40-64,Male,Angry,rainy
SNY978821,Men's Beach Skirt,18-39,Male,neutral,sunny
SNY957626,Teen Boy Lightweight Hoodie,10-18,Male,Angry,sunny
CLD292183,Teen Boy Parka Designer,10-18,Male,neutral,cold
RNY524323,Senior Women's Water Repellent Hoodie,65+,Female,Angry,rainy
SNY267570,Teen Girl Sun Hat Casual,10-18,Female,Happy,sunny
RNY305266,Senior Women's Raincoat Simple,65+,Female,Happy,rainy
RNY835639,Girls Raincoat Premium,Kids,Female,neutral,rainy
SNY824410,Men's Linen Skirt,18-39,Male,Angry,sunny
CLD896760,Kids Insulated Suit,Kids,Male,Happy,cold
CLD467067,Teen Girl Thermal Bag,10-18,Female,Sad,cold
RNY114895,Girls Raincoat Basic,Kids,Female,Angry,rainy
CLD628952,Kids Parka Fashion,Kids,Male,neutral,cold
CLD991961,Women's Down Jacket,18-39,Female,neutral,cold
SNY840551,Kids Sun Hat Elegant,Kids,Male,neutral,sunny
CLD623695,Girls Gloves Sport,Kids,Female,Happy,cold
CLD548392,Men's Fleece Pants,18-39,Male,Sad,cold
SNY916332,Men's Beach Skirt,40-64,Male,Angry,sunny
RNY437891,Girls Waterproof Skirt,Kids,Female,Angry,rainy
RNY408834,Men's Splash Pants,40-64,Male,Happy,rainy
SNY630155,Girls Beach Dress,Kids,Female,neutral,sunny
SNY905812,Women's Beach Volleyball Bag,18-39,Female,Sad,sunny
RNY813141,Men's Raincoat Designer,18-39,Male,neutral,rainy
SNY377888,Men's Lightweight Shirt,18-39,Male,Angry,sunny
RNY847496,Women's Raincoat Simple,18-39,Female,Sad,rainy
CLD250539,Women's Insulated Coat,40-64,Female,Angry,cold
SNY456687,Senior Women's Cotton Coat,65+,Female,Sad,sunny
CLD407943,Women's Knit Bag,18-39,Female,Angry,cold
SNY785611,Girls Linen Shoes,Kids,Female,Happy,sunny
SNY786874,Girls Beach Volleyball Shirt,Kids,Female,Sad,sunny
CLD597220,Women's Knit Dress,18-39,Female,Sad,cold
RNY223677,Men's Galoshes,18-39,Male,Angry,rainy
SNY303846,Senior Men's Lightweight Vest,65+,Male,Angry,sunny
SNY888808,Senior Women's Cotton Jacket,65+,Female,Happy,sunny
RNY295268,Men's Rain Boots Elegant,18-39,Male,Angry,rainy
CLD677074,Teen Girl Sweater Fashion,10-18,Female,neutral,cold
SNY440275,Men's Sandals Classic,18-39,Male,Sad,sunny
RNY428345,Kids Raincoat Casual,Kids,Male,Angry,rainy
RNY128208,Women's Umbrella Sport,18-39,Female,Happy,rainy
SNY117030,Senior Men's Summer Dress,65+,Male,Angry,sunny
CLD901147,Senior Women's Parka Classic,65+,Female,neutral,cold
RNY282892,Men's Wet Weather Coat,40-64,Male,Sad,rainy
CLD523886,Kids Gloves Modern,Kids,Male,Happy,cold
RNY405637,Teen Girl Wet Weather Dress,10-18,Female,Angry,rainy
SNY719489,Girls Sandals Formal,Kids,Female,neutral,sunny
CLD651946,Women's Insulated Outfit,18-39,Female,Sad,cold
CLD167057,Girls Beanie Sport,Kids,Female,neutral,cold
SNY203050,Women's Lightweight Shoes,18-39,Female,Sad,sunny
SNY711878,Senior Women's Cycling Jersey,65+,Female,neutral,sunny
SNY102693,Kids Beach Volleyball Outfit,Kids,Male,Angry,sunny
RNY511239,Teen Girl Rain Jacket Fashion,10-18,Female,neutral,rainy
CLD827261,Women's Thermal Shirt,40-64,Female,Happy,cold
RNY403909,Teen Boy Rain Jacket Casual,10-18,Male,neutral,rainy
SNY686893,Senior Women's Linen Skirt,65+,Female,Sad,sunny
SNY706889,Senior Men's Sunglasses Trendy,65+,Male,Sad,sunny
CLD524385,Girls Sweater Modern,Kids,Female,Sad,cold
SNY884645,Senior Women's Lightweight Skirt,65+,Female,Happy,sunny
CLD867895,Men's Gloves Designer,18-39,Male,Happy,cold
CLD746940,Women's Heavy Coat,40-64,Female,neutral,cold
RNY737099,Girls Wet Weather Top,Kids,Female,Happy,rainy
CLD530611,Women's Wool Blazer,40-64,Female,Happy,cold
CLD429052,Girls Parka Trendy,Kids,Female,neutral,cold
SNY604134,Senior Men's Beach Volleyball Skirt,65+,Male,Happy,sunny
CLD173380,Men's Sweater Elegant,18-39,Male,Sad,cold
SNY522979,Teen Boy Beach Volleyball Outfit,10-18,Male,Sad,sunny
CLD590407,Men's Winter Jacket Classic,40-64,Male,Angry,cold
SNY542514,Women's Beach Volleyball Suit,18-39,Female,Angry,sunny
CLD696838,Girls Parka Formal,Kids,Female,Happy,cold
CLD808527,Teen Boy Winter Jacket Modern,10-18,Male,Sad,cold
SNY211726,Men's Sunglasses Fashion,40-64,Male,neutral,sunny
RNY465620,Kids Wet Weather Pants,Kids,Male,neutral,rainy
SNY383816,Women's Beach Coat,18-39,Female,Angry,sunny
RNY920710,Men's Water Repellent Dress,40-64,Male,Angry,rainy
RNY920779,Men's Rain Poncho,18-39,Male,Sad,rainy
RNY566951,Women's Waterproof Shirt,40-64,Female,Sad,rainy
CLD749633,Women's Winter Jacket Sport,40-64,Female,Sad,cold
CLD549231,Senior Women's Wool Jacket,65+,Female,neutral,cold
SNY854727,Women's Beach Bag,40-64,Female,neutral,sunny
CLD154552,Teen Girl Thermal Skirt,10-18,Female,Angry,cold
CLD125227,Girls Knit Suit,Kids,Female,Sad,cold
SNY950360,Men's Sandals Modern,40-64,Male,Happy,sunny
CLD123105,Senior Men's Winter Scarf,65+,Male,neutral,cold
CLD454441,Teen Boy Knit Top,10-18,Male,Sad,cold
SNY489906,Men's Lightweight Pants,18-39,Male,Sad,sunny
SNY241081,Girls Lightweight Vest,Kids,Female,Happy,sunny
CLD460166,Girls Knit Shirt,Kids,Female,Happy,cold
